listing_id,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
6,93,9,9,10,10,9,9
109,80,10,10,6,8,10,8
344,80,10,10,10,10,10,8
686,95,9,10,10,10,10,10
930,98,10,10,10,10,10,10
941,100,10,7,10,10,10,10
1078,97,10,10,10,10,10,10
1940,98,10,10,10,10,10,10
2100,100,10,10,10,10,10,10
2265,90,9,9,9,9,8,8
2515,92,9,9,10,9,9,9
2732,96,9,9,9,10,10,9
3021,84,8,8,8,9,10,8
3152,93,9,9,10,10,10,9
3330,97,10,10,10,10,10,10
3781,98,10,10,10,10,10,10
4291,92,10,9,10,9,9,9
4989,88,9,9,10,10,10,9
5054,93,9,8,10,10,10,9
5121,90,8,8,10,10,9,9
5238,93,9,9,10,10,9,9
5245,90,10,8,10,9,9,9
5351,77,8,6,9,9,10,8
5435,91,10,8,10,10,10,9
5441,97,9,9,10,10,10,10
5456,96,10,10,10,9,9,10
5506,92,10,10,10,10,9,10
5682,96,10,10,10,10,9,10
5728,94,10,9,10,10,9,9
5729,94,10,10,10,9,9,9
5769,98,10,10,10,10,9,10
5803,93,9,9,10,10,10,9
5843,87,8,8,9,9,9,9
5945,92,9,9,10,10,10,9
6033,86,8,7,9,8,9,8
6090,96,10,9,9,10,10,9
6413,99,10,10,10,10,10,10
6448,99,10,10,10,10,10,10
6606,93,9,9,10,9,10,9
6695,95,10,10,10,10,9,9
6715,89,9,9,9,9,9,9
6848,90,9,10,10,10,9,9
6976,99,10,10,10,10,9,10
7097,96,10,10,10,10,10,10
7126,91,9,9,10,10,10,9
7143,93,9,9,10,10,9,9
7241,92,10,8,10,10,10,9
7322,96,9,10,10,10,10,9
7369,94,10,10,10,10,10,9
7679,97,10,10,10,10,10,10
7801,98,9,9,10,9,10,10
7816,95,9,9,10,10,10,9
7992,96,10,10,10,10,10,10
8021,96,10,10,10,10,10,10
8024,93,9,9,9,10,10,9
8110,90,9,9,9,9,10,9
8225,91,9,9,10,10,9,9
8235,93,9,9,10,10,8,9
8502,93,9,10,10,10,9,9
8745,90,9,8,10,9,9,9
8746,93,10,9,10,9,10,9
8747,80,8,7,8,8,9,8
8770,94,9,9,10,10,10,9
8792,93,10,9,10,9,10,10
9140,95,10,9,10,10,9,10
9273,100,10,10,10,10,9,9
9357,90,9,8,10,10,10,9
9376,93,10,9,10,10,10,10
9419,91,9,9,10,10,9,9
9460,98,10,10,10,10,10,10
9531,100,10,10,10,10,10,10
9534,100,10,10,10,10,10,10
9596,88,9,9,9,9,10,9
9657,93,10,9,10,9,9,8
9668,87,9,8,9,9,9,9
9704,98,10,10,10,10,10,10
9765,89,10,10,10,9,10,8
9782,80,8,6,9,9,8,8
9783,89,9,8,9,9,9,9
9824,78,8,9,10,9,10,8
9855,90,,,,,,
9857,89,9,10,10,10,10,9
9859,95,10,10,10,10,10,10
9860,85,8,9,10,9,10,9
9870,80,9,7,10,9,10,8
10291,97,10,10,10,10,10,10
10385,94,10,10,9,10,9,10
10695,95,10,10,10,10,9,10
10730,95,10,9,10,10,10,9
10758,60,6,5,8,8,8,7
10760,99,10,10,10,10,10,10
10807,60,10,4,4,6,8,8
10811,92,10,10,9,9,10,9
11012,95,10,9,9,9,10,9
11374,82,9,8,9,9,7,8
11411,93,10,10,10,10,9,9
11511,97,10,10,10,10,10,10
11708,86,9,9,10,9,9,9
11900,90,9,9,10,10,8,9
12140,100,10,10,10,10,10,10
12192,86,9,8,10,10,9,9
12299,100,10,10,10,10,10,10
12318,94,9,9,9,10,10,9
12356,93,10,10,10,10,10,10
12382,89,9,9,9,9,8,9
12441,89,8,9,9,9,10,9
12899,98,10,10,10,10,10,10
13035,100,10,10,10,10,10,10
13050,94,10,9,10,10,9,9
13068,93,9,9,10,9,10,9
13076,88,10,10,10,10,8,9
13414,94,9,8,10,10,10,10
13536,60,10,2,8,10,10,6
13552,93,10,9,10,10,10,9
13589,87,9,9,10,9,10,9
13592,76,8,9,10,9,10,8
13776,96,10,10,10,10,10,10
13808,94,9,9,10,10,9,9
